iter	Passed	Remaining
536	989684	853303
537	991545	851475
538	993425	849664
539	995247	847803
540	997096	845965
541	999044	844211
542	1001004	842465
543	1002813	840593
544	1004703	838788
545	1006487	836895
546	1008344	835064
547	1010267	833285
548	1012120	831450
549	1014032	829663
550	1015883	827825
551	1017739	825991
552	1019654	824205
553	1021504	822366
554	1023348	820522
555	1025303	818767
556	1027180	816949
557	1029027	815107
558	1030932	813311
559	1032822	811503
560	1034687	809675
561	1036517	807819
562	1038403	806007
563	1040273	804183
564	1042183	802388
565	1044034	800549
566	1045836	798672
567	1047671	796820
568	1049526	794984
569	1051326	793105
570	1053125	791227
571	1054979	789390
572	1056857	787570
573	1058714	785735
574	1060571	783900
575	1062457	782087
576	1064331	780263
577	1066169	778414
578	1068051	776596
579	1069892	774749
580	1071728	772898
581	1073629	771094
582	1075529	769289
583	1077403	767465
584	1079356	765697
585	1081239	763879
586	1083127	762063
587	1084986	760228
588	1086872	758411
589	1088789	756616
590	1090623	754763
591	1092513	752948
592	1094392	751125
593	1096257	749293
594	1098133	747468
595	1100003	745640
596	1101868	743807
597	1103702	741953
598	1105535	740099
599	1107466	738310
600	1109257	736428
601	1111044	734544
602	1112848	732671
603	1114632	730785
604	1116491	728948
605	1118371	727126
606	1120246	725299
607	1122194	723520
608	1124037	721672
609	1125889	719830
610	1127740	717988
611	1129557	716124
612	1131381	714265
613	1133273	712448
614	1135193	710649
615	1137034	708800
616	1138867	706947
617	1140773	705138
618	1142646	703308
619	1144512	701475
620	1146389	699648
621	1148201	697781
622	1150040	695931
623	1151900	694094
624	1153808	692284
625	1155644	690432
626	1157436	688554
627	1159250	686690
628	1161119	684857
629	1162922	682985
630	1164660	681077
631	1166504	679230
632	1168295	677353
633	1170103	675485
634	1171964	673648
635	1173807	671802
636	1175681	669972
637	1177496	668109
638	1179367	666278
639	1181260	664459
640	1183148	662636
641	1184974	660780
642	1186790	658918
643	1188649	657079
644	1190507	655240
645	1192333	653384
646	1194080	651484
647	1195891	649620
648	1197743	647777
649	1199585	645930
650	1201477	644110
651	1203354	642281
652	1205232	640453
653	1207112	638625
654	1209004	636803
655	1210869	634967
656	1212769	633150
657	1214682	631339
658	1216582	629521
659	1218389	627655
660	1220209	625795
661	1222021	623932
662	1223904	622105
663	1225750	620259
664	1227600	618415
665	1229470	616581
666	1231314	614734
667	1233251	612933
668	1235148	611112
669	1237073	609304
670	1238971	607484
671	1240834	605645
672	1242763	603839
673	1244625	602000
674	1246480	600157
675	1248400	598345
676	1250224	596488
677	1252086	594648
678	1253972	592820
679	1255824	590976
680	1257587	589090
681	1259383	587220
682	1261109	585317
683	1263000	583491
684	1264857	581649
685	1266643	579775
686	1268551	577957
687	1270456	576137
688	1272306	574292
689	1274148	572443
690	1276064	570627
691	1277826	568743
692	1279767	566938
693	1281591	565082
694	1283440	563236
695	1285340	561413
696	1287246	559591
697	1289086	557742
698	1290934	555895
699	1292771	554045
700	1294705	552235
701	1296506	550368
702	1298431	548555
703	1300265	546702
704	1302123	544860
705	1303988	543020
706	1305832	541172
707	1307630	539305
708	1309491	537464
709	1311311	535606
710	1313230	533788
711	1315046	531929
712	1316893	530081
713	1318789	528254
714	1320643	526410
715	1322539	524582
716	1324409	522744
717	1326317	520921
718	1328209	519091
719	1330128	517272
720	1331971	515423
721	1333935	513620
722	1335899	511817
723	1337683	509945
724	1339532	508098
725	1341432	506270
726	1343274	504420
727	1345176	502593
728	1347019	500743
729	1348893	498905
730	1350822	497087
731	1352696	495249
732	1354496	493384
733	1356377	491548
734	1358265	489714
735	1360075	487853
736	1361961	486018
737	1363788	484163
738	1365642	482317
739	1367482	480466
740	1369259	478594
741	1371028	476718
742	1372910	474883
743	1374792	473046
744	1376695	471217
745	1378589	469385
746	1380464	467546
747	1382346	465710
748	1384235	463876
749	1386154	462051
750	1388042	460216
751	1389859	458357
752	1391750	456523
753	1393619	454682
754	1395485	452839
755	1397334	450991
756	1399237	449160
757	1401051	447301
758	1402914	445457
759	1404768	443611
760	1406650	441773
761	1408485	439920
762	1410325	438069
763	1412212	436233
764	1414043	434379
765	1415787	432499
766	1417645	430653
767	1419541	428819
768	1421332	426954
769	1423210	425114
770	1425106	423280
771	1426969	421436
772	1428812	419586
773	1430716	417754
774	1432630	415924
775	1434464	414072
776	1436354	412235
777	1438190	410383
778	1440083	408547
779	1441934	406699
780	1443831	404864
781	1445748	403034
782	1447640	401198
783	1449516	399356
784	1451372	397509
785	1453252	395669
786	1455126	393827
787	1456961	391974
788	1458830	390130
789	1460683	388282
790	1462591	386449
791	1464459	384605
792	1466403	382781
793	1468325	380950
794	1470240	379118
795	1472136	377281
796	1474056	375449
797	1475926	373605
798	1477789	371759
799	1479698	369924
800	1481595	368086
801	1483486	366247
802	1485331	364396
803	1487212	362554
804	1489119	360718
805	1490970	358868
806	1492718	356994
807	1494645	355163
808	1496512	353317
809	1498344	351463
810	1500167	349607
811	1502000	347753
812	1503874	345909
813	1505696	344053
814	1507515	342196
815	1509398	340354
816	1511303	338517
817	1513228	336683
818	1515120	334843
819	1517000	333000
820	1518925	331166
821	1520805	329322
822	1522689	327479
823	1524577	325637
824	1526435	323789
825	1528330	321948
826	1530185	320099
827	1532088	318259
828	1533961	316414
829	1535814	314564
830	1537775	312736
831	1539676	310896
832	1541542	309048
833	1543418	307203
834	1545231	305345
835	1547032	303484
836	1548905	301638
837	1550744	299785
838	1552644	297944
839	1554555	296105
840	1556456	294264
841	1558312	292414
842	1560239	290578
843	1562144	288737
844	1563993	286886
845	1565811	285029
846	1567693	283184
847	1569485	281322
848	1571353	279475
849	1573220	277627
850	1575094	275780
851	1577016	273941
852	1578900	272096
853	1580769	270248
854	1582623	268398
855	1584517	266554
856	1586320	264695
857	1588116	262835
858	1590019	260992
859	1591908	259147
860	1593773	257299
861	1595613	255446
862	1597350	253577
863	1599106	251711
864	1600934	249856
865	1602718	247995
866	1604574	246145
867	1606432	244296
868	1608182	242430
869	1609991	240573
870	1611861	238725
871	1613650	236866
872	1615581	235027
873	1617403	233172
874	1619192	231313
875	1621067	229466
876	1622863	227608
877	1624755	225763
878	1626590	223910
879	1628432	222058
880	1630319	220213
881	1632278	218377
882	1634129	216526
883	1635995	214678
884	1637921	212837
885	1639848	210996
886	1641650	209139
887	1643557	207295
888	1645481	205453
889	1647309	203600
890	1649175	201751
891	1651014	199898
892	1652930	198055
893	1654825	196209
894	1656672	194358
895	1658553	192510
896	1660392	190658
897	1662129	188794
898	1663996	186945
899	1665809	185089
900	1667695	183242
901	1669567	181394
902	1671452	179546
903	1673364	177702
904	1675245	175854
905	1677111	174004
906	1679007	172158
907	1680896	170311
908	1682865	168471
909	1684755	166624
910	1686710	164782
911	1688550	162930
912	1690462	161084
913	1692282	159230
914	1694136	157378
915	1695998	155528
916	1697867	153678
917	1699786	151832
918	1701661	149983
919	1703517	148131
920	1705380	146281
921	1707304	144435
922	1709199	142587
923	1711075	140737
924	1712975	138889
925	1714855	137040
926	1716788	135194
927	1718668	133344
928	1720556	131495
929	1722389	129642
930	1724396	127801
931	1726365	125957
932	1728271	124109
933	1730195	122262
934	1732065	120410
935	1733826	118552
936	1735664	116698
937	1737526	114847
938	1739415	112997
939	1741262	111144
940	1743183	109296
941	1745136	107450
942	1747036	105600
943	1749015	103755
944	1750924	101905
945	1752770	100052
946	1754652	98201
947	1756529	96349
948	1758469	94501
949	1760270	92645
950	1762187	90796
951	1764074	88944
952	1766029	87096
953	1767975	85248
954	1769955	83401
955	1771888	81551
956	1773782	79699
957	1775695	77848
958	1777572	75996
959	1779406	74141
960	1781338	72291
961	1783192	70437
962	1785132	68587
963	1787025	66735
964	1788916	64882
965	1790825	63031
966	1792727	61178
967	1794613	59326
968	1796526	57474
969	1798401	55620
970	1800364	53769
971	1802305	51918
972	1804170	50064
973	1806084	48211
974	1807976	46358
975	1809884	44505
976	1811785	42652
977	1813667	40798
978	1815586	38945
979	1817477	37091
980	1819461	35239
981	1821399	33386
982	1823285	31531
983	1825184	29677
984	1827109	27823
985	1829005	25969
986	1830944	24115
987	1832904	22262
988	1834849	20407
989	1836725	18552
990	1838617	16697
991	1840489	14842
992	1842337	12987
993	1844296	11132
994	1846156	9277
995	1848013	7421
996	1849914	5566
997	1851834	3711
998	1853729	1855
999	1855654	0
